Energy,fluence
0.585157434639182,335451614975438
1.07826938039205,38203444324093.3
1.57827187782522,39604186292130.7
2.07187541160745,53144230747890.1
2.57578192265233,35978100253734.4
3.07094987119261,28299649712631.5
3.57048549189559,23076102928761.1
4.06528417193274,19861028637721.2
4.57088189614875,17509216976481
5.07521617534891,15528808730392.3
5.61165430207513,14107019727713.2
6.10175190561701,12892550339262.4
6.57933224657568,11782634281277.6
7.06465420308645,10898301499695.1
7.61760031024612,10141020674534.4
8.04367556657903,9550307961983.79
8.67324906924986,8886693994780.57
9.19679198511706,8369045595892.4
9.83393362663132,7834390463678.22
10.5152156022978,7159929976703.96
11.1499450552911,6504380032238.11
11.724407621016,5980202624182.07
12.432127473601,5498267820917.67
12.9636492698232,5116214453014.86
13.6315567064761,4732222550151.79
14.2143587668087,4456571399374.33
14.9467047081405,4146901487342.61
15.5857344599624,3928853687599.2
16.3887358166667,3699998635085.17
17.0894180062263,3484474350073.78
18.2733503881515,3361233604191.62
20.204799515155,3281504317647.55
22.3403981632349,3165442324046.18
24.291511865646,3053485272890.35
26.8590661668495,2963218550153.75
28.9613086336379,2875620280186.81
31.2280923157358,2807409860945.19
33.9554187658821,2708115892759.58
36.920938106278,2643878718723.5
40.8233923447608,2581165266230.93
45.5178581614673,2519939392232.67
49.4931909247569,2460165811001.53
