Energy,fluence
0.524807460249772,710286460235010
1.01688707486483,23636772988780
1.51991108295293,19389920160957.9
2.01203885684859,23495341132608.3
2.52242453373793,14889946468475.8
2.99477111996799,11297891341947.1
3.51119173421513,8994004163483.08
4.01454530732306,7602791261915.63
4.51383265976898,6582922864811.72
5.01187233627272,5768691630589.89
5.49540873857625,5177994664687.92
6.0004223246009,4675760979647.25
6.4972155152569,4273226022788.9
7.03513972318652,3952503698319.53
7.52252494172436,3655852838561.96
8.01007096343687,3401821762771.89
8.45809828175134,3165442324046.18
9.04406419595761,2981055852341.67
9.54992586021436,2824309261785
10,2643878718723.5
10.6036295184043,2489873237449.41
11.0569759162807,2401810073796.4
11.5297046356642,2261905049513.53
12.0226443461741,2155871823996.2
12.7483666478369,2042514149793.9
13.5178956898444,1912028461755.2
14.4543977074593,1757941197750.83
15.4557793519864,1635788662252.16
16.1165740245496,1540504253626.01
17.0894180062263,1433460570499.6
18.1209857223171,1317940314507.36
19.5393040468961,1211729648063.06
21.2457823103057,1127531240835.79
23.2955370632548,999999999999.992
25.9743958288788,919411626402.817
29.2048207791531,840259736265.558
33.6722957521143,763327109097.692
38.4994517904507,697612491462.85
44.0186139690868,656976683651.506
49.0805127165386,626179035062.22
