Energy,fluence
0.556486387698329,283563200635997
1.05593300238656,32294049169065
1.54557793519864,33277803128838
2.04601630765514,44654957312258.4
2.54363355498351,30230949030538.9
3.04534404407392,23636772988780
3.54071449657817,19389920160957.9
4.03138750540903,16588566643068.3
4.53276951511946,14624258288951.5
5.03289861452025,13126777481684.4
5.5184635942207,11853560675901.5
6.02559586074358,10768270586739.6
6.52447324492195,9900473173699.9
7.00574854790968,9157403943876.36
7.52252494172435,8572384665363.33
8.04367556657903,7976722806204.59
8.5292155674245,7422451186087.51
9.08200670476741,6990094679319.03
9.51002849415164,6426774317822.41
10.0419529406113,5908851028073
10.6036295184043,5498267820917.65
11.0569759162807,5116214453014.86
11.6754257765942,4789365915332.68
12.2256716413212,4429905273441.05
12.9636492698232,4122088287376.85
13.7461734063738,3789895896473.16
14.6984902036712,3484474350073.78
15.7167822549977,3127674479642.61
16.6654936253427,2875620280186.81
17.969891485326,2790611578546.13
19.5393040468961,2740817409599.1
21.2457823103057,2675804547552.75
22.7176621395275,2612333806559.99
24.9094212033395,2581165266230.92
27.0849022611904,2519939392232.68
29.6980047740645,2460165811001.53
33.3915334408156,2430812832793.37
37.8601053568985,2373153355439.85
42.9266772122353,2330808086027.79
48.2654504415475,2289218402780.22
