Energy,fluence
1.80717795798923,49702568220343.4
1.81382082956555,22437523994944.1
1.84123794428297,10129104009109
1.89750807952916,4233903420139.06
2.00793565633902,2011968467236.45
2.24021740643561,1032589195757.37
2.40674315616547,587221879062.948
2.64495342159418,360664223458.138
2.88495234426577,279050272693.084
3.30501156114786,167047978944.099
4.05261321169667,92592074862.6722
4.3704109780117,59100035769.5507
4.93176347810355,40740640754.8889
5.64996451130107,28447165356.077
6.52184657471976,19863242251.5073
7.38745821067509,14599749486.6087
8.43142293171058,10731011703.5681
9.44292006687637,8302713569.53961
10.5358860078306,6423909927.79333
12.0248155671514,4844364007.94043
14.1987116619588,3470483405.72833
16.3280903133284,2518339086.62901
18.7769103568867,1899116171.9551
22.5090229233079,1343178417.16915
26.478264553117,1012910400.9109
31.3834527389284,725645044.858099
36.0903409103363,561440349.432218
43.2637595956385,402213667.845166
50.3197077086678,319284821.427489
59.4171302727558,240777332.588837
67.0506603816181,201196846.723646
80.0753212209775,151725471.517305
95.9919929718008,114418387.176657
111.227254996115,95609576.1159532
