Energy,fluence
0.494931909247568,79926962788656.9
0.991661919538676,6865367197324.2
1.48220778816524,6543533604685.23
1.98692657371427,8470104965698.76
2.49094212033395,5631856848435.47
2.98225966371207,4350860431335.16
3.48191513502011,3505449388160.35
3.98107170553497,3017053221736.21
4.47619595986287,2643878718723.5
4.970082941471,2344838549008.79
5.4724502007492,2092140229833.93
5.97535395762928,1912028461755.19
6.47007166203804,1747422465487.47
6.97648016211793,1616271575744.61
7.49109758451666,1503963114412.56
7.97660675250011,1366263033638.07
8.45809828175134,1241170517546.24
8.96865406099436,1120784599221.11
9.43073311137792,1036665331956.83
10,958859544668.985
10.6036295184043,886893385994.988
11.1499450552911,825266594407.822
11.8229886516871,758759701780.412
12.432127473601,697612491462.85
13.0726500780164,656976683651.506
13.7461734063738,611325914573.33
14.4543977074593,575716285045.904
14.9467047081405,548727948510.999
15.5857344599624,516764639755.379
16.8056202390988,469450625233.478
18.2733503881515,463849468632.301
19.8692657371427,458315141115.13
21.4244208552339,458315141115.13
23.1012970008316,455572788715.745
25.3300684640398,452846845324.067
27.3126372280085,452846845324.067
30.1995172040202,450137212755.946
33.3915334408156,447443793414.726
38.1784402637051,447443793414.726
43.2876128108306,442105206942.731
47.4639236101641,442105206942.731
