,Energy,Efficiency
0,0.1,1.247894349700197e-05
1,0.11665290395761166,2.1970074198581864e-05
2,0.1360790000174377,3.871391156935885e-05
3,0.15874010519681994,6.763188118931712e-05
4,0.18517494245745805,0.00011729446849712776
5,0.2160119477784612,0.00020253299673136536
6,0.25198420997897464,0.000344898472509471
7,0.2939468984551198,0.0005816517363140112
8,0.34289759314122914,0.000965456213615927
9,0.4,0.0015716574054688904
10,0.4513180901397902,0.0022730576281589244
11,0.5092200462185694,0.0032392828375523907
12,0.5745505468006511,0.004542213541184416
13,0.648262638677105,0.006257452602696919
14,0.7,0.0075777488623357345
15,0.7314316399918297,0.008412993904734817
16,0.8252708270723178,0.011059874320307726
17,0.9311491338059089,0.01418433205713577
18,1.0506111217615068,0.01776466479056352
19,1.1853995123825645,0.021770588437511996
20,1.337480609952844,0.026072012502994596
21,1.5090729862072978,0.030511083587321287
22,1.7026798450415688,0.034909177399738846
23,1.9211255394591868,0.03911885208209492
24,2.1675967734687362,0.04308308474056978
25,2.4456890899877033,0.046755350443495346
26,2.759459322922429,0.049950459251302294
27,3.113484778599473,0.052730891781581364
28,3.5129300098920537,0.05510927833829235
29,3.9636221571480905,0.057039797604001664
30,4.472135954999579,0.058690223246799726
31,5.04588964513974,0.06002436001795235
32,5.693253194251528,0.061046184298284026
33,6.42367039577965,0.06186407446821672
34,7.247796636776952,0.06242052812882282
35,8.177654339579423,0.06274116358732278
36,9.226808345905878,0.06288278691839912
37,10.410563801900294,0.06291828214200251
38,11.746189430880186,0.0629236806828828
39,13.253169450912587,0.06295334125320261
40,14.953487812212204,0.06295421174499741
41,16.87194890084059,0.06271218169220817
42,19.036539387158772,0.061661588512931846
43,21.478836497708475,0.05805449111159589
44,24.23446866642653,0.04854648372577077
45,27.343635285210528,0.03530318251338829
46,30.851693136000453,0.022443187309016704
47,34.809818059296504,0.011955940744349544
48,39.2757515115882,0.005324151892917628
49,44.314642902537415,0.0020012965426534253
50,50.0,0.0006473892443431504
