"Energy","Efficiency"
1.303303303303303373e+01,8.882423369754722797e-01
1.324324324324324387e+01,8.882992501073833091e-01
1.345345345345345400e+01,8.883538323061785924e-01
1.366366366366366414e+01,8.884061626049604143e-01
1.387387387387387427e+01,8.884563173571192740e-01
1.408408408408408441e+01,8.885043703271924276e-01
1.429429429429429455e+01,8.885503927786410072e-01
1.450450450450450468e+01,8.885944535586539628e-01
1.471471471471471482e+01,8.886366191800720848e-01
1.492492492492492495e+01,8.886769539005398011e-01
1.513513513513513509e+01,8.887155197989679012e-01
1.534534534534534522e+01,8.887523768494073328e-01
1.555555555555555536e+01,8.887875829924162252e-01
1.576576576576576727e+01,8.888211942040091795e-01
1.597597597597597741e+01,8.888532645622658768e-01
1.618618618618618754e+01,8.888838463116842670e-01
1.639639639639639768e+01,8.889129899253491729e-01
1.660660660660660781e+01,8.889407441649948005e-01
1.681681681681681795e+01,8.889671561390299903e-01
1.702702702702702808e+01,8.889922713585964864e-01
1.723723723723723822e+01,8.890161337917258377e-01
1.744744744744744835e+01,8.890387859156601014e-01
1.765765765765765849e+01,8.890602687673999638e-01
1.786786786786786863e+01,8.890806219925363463e-01
1.807807807807807876e+01,8.890998838924291103e-01
1.828828828828828890e+01,8.891180914697841553e-01
1.849849849849849903e+01,8.891352804726858627e-01
1.870870870870870917e+01,8.891514854371369569e-01
1.891891891891891930e+01,8.891667397281554086e-01
1.912912912912912944e+01,8.891810755794773424e-01
1.933933933933933957e+01,8.891945241319157978e-01
1.954954954954954971e+01,8.892071154704165314e-01
1.975975975975975985e+01,8.892188786598591577e-01
1.996996996996996998e+01,8.892298417796433707e-01
2.018018018018018012e+01,8.892400319571027723e-01
2.039039039039039025e+01,8.892494753997860490e-01
2.060060060060060039e+01,8.892581974266431377e-01
2.081081081081081052e+01,8.892662224981546792e-01
2.102102102102102066e+01,8.892735742454388470e-01
2.123123123123123079e+01,8.892802754983721858e-01
2.144144144144144093e+01,8.892863483127568802e-01
2.165165165165165106e+01,8.892918139965663160e-01
2.186186186186186120e+01,8.892966931353011306e-01
2.207207207207207134e+01,8.893010056164859511e-01
2.228228228228228147e+01,8.893047706533345753e-01
2.249249249249249516e+01,8.893080068076135714e-01
2.270270270270270530e+01,8.893107320117303871e-01
2.291291291291291543e+01,8.893129635900725027e-01
2.312312312312312557e+01,8.893147182796230510e-01
2.333333333333333570e+01,8.893160122498772191e-01
2.354354354354354584e+01,8.893168611220843012e-01
2.375375375375375597e+01,8.893172799878357182e-01
2.396396396396396611e+01,8.893172834270248739e-01
2.417417417417417624e+01,8.893168855251954996e-01
2.438438438438438638e+01,8.893160998903041348e-01
2.459459459459459651e+01,8.893149396689132846e-01
2.480480480480480665e+01,8.893134175618349069e-01
2.501501501501501679e+01,8.893115458392448769e-01
2.522522522522522692e+01,8.893093363552836417e-01
2.543543543543543706e+01,8.893068005621626027e-01
2.564564564564564719e+01,8.893039495237922143e-01
2.585585585585585733e+01,8.893007939289475638e-01
2.606606606606606746e+01,8.892973441039877525e-01
2.627627627627627760e+01,8.892936100251441767e-01
2.648648648648648773e+01,8.892896013303920322e-01
2.669669669669669787e+01,8.892853273309191398e-01
2.690690690690690801e+01,8.892807970222061931e-01
2.711711711711711814e+01,8.892760190947313070e-01
2.732732732732732828e+01,8.892710019443114122e-01
2.753753753753753841e+01,8.892657536820928188e-01
2.774774774774774855e+01,8.892602821442037175e-01
2.795795795795795868e+01,8.892545949010787210e-01
2.816816816816816882e+01,8.892486992664678791e-01
2.837837837837837895e+01,8.892426023061391627e-01
2.858858858858858909e+01,8.892363108462879584e-01
2.879879879879879923e+01,8.892298314816582394e-01
2.900900900900900936e+01,8.892231705833916200e-01
2.921921921921921950e+01,8.892163343066085135e-01
2.942942942942942963e+01,8.892093285977319406e-01
2.963963963963963977e+01,8.892021592015649789e-01
2.984984984984984990e+01,8.891948316681254072e-01
3.006006006006006004e+01,8.891873513592514211e-01
3.027027027027027017e+01,8.891797234549814188e-01
3.048048048048048031e+01,8.891719529597180705e-01
3.069069069069069045e+01,8.891640447081837761e-01
3.090090090090090058e+01,8.891560033711740640e-01
3.111111111111111072e+01,8.891478334611149226e-01
3.132132132132132085e+01,8.891395393374335043e-01
3.153153153153153454e+01,8.891311252117449770e-01
3.174174174174174468e+01,8.891225951528646254e-01
3.195195195195195481e+01,8.891139530916497558e-01
3.216216216216216139e+01,8.891052028256769546e-01
3.237237237237237508e+01,8.890963480237613625e-01
3.258258258258258167e+01,8.890873922303224042e-01
3.279279279279279535e+01,8.890783388696018585e-01
3.300300300300300194e+01,8.890691912497384886e-01
3.321321321321321562e+01,8.890599525667036707e-01
3.342342342342342221e+01,8.890506259081066842e-01
3.363363363363363590e+01,8.890412142568669962e-01
3.384384384384384248e+01,8.890317204947646434e-01
3.405405405405405617e+01,8.890221474058694895e-01
3.426426426426426275e+01,8.890124976798536860e-01
3.447447447447447644e+01,8.890027739151934449e-01
3.468468468468468302e+01,8.889929786222597885e-01
3.489489489489489671e+01,8.889831142263070474e-01
3.510510510510510329e+01,8.889731830703579973e-01
3.531531531531531698e+01,8.889631874179926285e-01
3.552552552552552356e+01,8.889531294560413244e-01
3.573573573573573725e+01,8.889430112971871134e-01
3.594594594594595094e+01,8.889328349824802133e-01
3.615615615615615752e+01,8.889226024837668660e-01
3.636636636636637121e+01,8.889123157060343505e-01
3.657657657657657779e+01,8.889019764896802789e-01
3.678678678678679148e+01,8.888915866127005128e-01
3.699699699699699806e+01,8.888811477928059146e-01
3.720720720720721175e+01,8.888706616894663792e-01
3.741741741741741833e+01,8.888601299058855876e-01
3.762762762762763202e+01,8.888495539909082588e-01
3.783783783783783861e+01,8.888389354408641196e-01
3.804804804804805229e+01,8.888282757013474811e-01
3.825825825825825888e+01,8.888175761689381948e-01
3.846846846846847257e+01,8.888068381928636574e-01
3.867867867867867915e+01,8.887960630766036374e-01
3.888888888888889284e+01,8.887852520794418121e-01
3.909909909909909942e+01,8.887744064179649017e-01
3.930930930930931311e+01,8.887635272675090681e-01
3.951951951951951969e+01,8.887526157635593504e-01
3.972972972972973338e+01,8.887416730031011403e-01
3.993993993993993996e+01,8.887307000459251372e-01
4.015015015015015365e+01,8.887196979158882293e-01
4.036036036036036023e+01,8.887086676021321852e-01
4.057057057057057392e+01,8.886976100602610451e-01
4.078078078078078050e+01,8.886865262134776566e-01
4.099099099099099419e+01,8.886754169536825732e-01
4.120120120120120077e+01,8.886642831425355382e-01
4.141141141141141446e+01,8.886531256124803324e-01
4.162162162162162105e+01,8.886419451677360914e-01
4.183183183183183473e+01,8.886307425852536523e-01
4.204204204204204132e+01,8.886195186156401471e-01
4.225225225225225500e+01,8.886082739840531763e-01
4.246246246246246159e+01,8.885970093910624534e-01
4.267267267267267528e+01,8.885857255134838040e-01
4.288288288288288186e+01,8.885744230051855208e-01
4.309309309309309555e+01,8.885631024978648540e-01
4.330330330330330213e+01,8.885517646018010751e-01
4.351351351351351582e+01,8.885404099065811190e-01
4.372372372372372240e+01,8.885290389818012446e-01
4.393393393393393609e+01,8.885176523777448265e-01
4.414414414414414267e+01,8.885062506260370530e-01
4.435435435435435636e+01,8.884948342402779753e-01
4.456456456456456294e+01,8.884834037166532417e-01
4.477477477477477663e+01,8.884719595345245136e-01
4.498498498498499032e+01,8.884605021570006755e-01
4.519519519519519690e+01,8.884490320314877287e-01
4.540540540540541059e+01,8.884375495902221420e-01
4.561561561561561717e+01,8.884260552507847741e-01
4.582582582582583086e+01,8.884145494165980317e-01
4.603603603603603744e+01,8.884030324774055964e-01
4.624624624624625113e+01,8.883915048097362765e-01
4.645645645645645772e+01,8.883799667773529807e-01
4.666666666666667140e+01,8.883684187316835956e-01
4.687687687687687799e+01,8.883568610122413167e-01
4.708708708708709167e+01,8.883452939470276588e-01
4.729729729729729826e+01,8.883337178529221445e-01
4.750750750750751195e+01,8.883221330360610013e-01
4.771771771771771853e+01,8.883105397921998714e-01
4.792792792792793222e+01,8.882989384070668626e-01
4.813813813813813880e+01,8.882873291567018326e-01
4.834834834834835249e+01,8.882757123077850148e-01
4.855855855855855907e+01,8.882640881179552084e-01
4.876876876876877276e+01,8.882524568361149786e-01
4.897897897897897934e+01,8.882408187027277524e-01
4.918918918918919303e+01,8.882291739501039229e-01
4.939939939939939961e+01,8.882175228026768510e-01
4.960960960960961330e+01,8.882058654772702067e-01
4.981981981981981988e+01,8.881942021833562073e-01
5.003003003003003357e+01,8.881825331233045295e-01
5.024024024024024015e+01,8.881708584926234495e-01
5.045045045045045384e+01,8.881591784801916578e-01
5.066066066066066043e+01,8.881474932684844115e-01
5.087087087087087411e+01,8.881358030337896947e-01
5.108108108108108070e+01,8.881241079464180510e-01
5.129129129129129439e+01,8.881124081709054208e-01
5.150150150150150097e+01,8.881007038662093178e-01
5.171171171171171466e+01,8.880889951858974563e-01
5.192192192192192124e+01,8.880772822783300491e-01
5.213213213213213493e+01,8.880655652868379990e-01
5.234234234234234151e+01,8.880538443498914303e-01
5.255255255255255520e+01,8.880421196012663332e-01
5.276276276276276178e+01,8.880303911702022157e-01
5.297297297297297547e+01,8.880186591815567576e-01
5.318318318318318205e+01,8.880069237559543582e-01
5.339339339339339574e+01,8.879951850099290223e-01
5.360360360360360232e+01,8.879834430560641367e-01
5.381381381381381601e+01,8.879716980031253648e-01
5.402402402402402970e+01,8.879599499561907638e-01
5.423423423423423628e+01,8.879481990167755745e-01
5.444444444444444997e+01,8.879364452829527909e-01
5.465465465465465655e+01,8.879246888494704004e-01
5.486486486486487024e+01,8.879129298078637378e-01
5.507507507507507682e+01,8.879011682465645094e-01
5.528528528528529051e+01,8.878894042510060425e-01
5.549549549549549710e+01,8.878776379037249811e-01
5.570570570570571078e+01,8.878658692844593192e-01
5.591591591591591737e+01,8.878540984702437688e-01
5.612612612612613106e+01,8.878423255355004651e-01
5.633633633633633764e+01,8.878305505521290053e-01
5.654654654654655133e+01,8.878187735895904931e-01
5.675675675675675791e+01,8.878069947149909158e-01
5.696696696696697160e+01,8.877952139931614139e-01
5.717717717717717818e+01,8.877834314867345533e-01
5.738738738738739187e+01,8.877716472562190431e-01
5.759759759759759845e+01,8.877598613600724553e-01
5.780780780780781214e+01,8.877480738547703920e-01
5.801801801801801872e+01,8.877362847948729874e-01
5.822822822822823241e+01,8.877244942330907440e-01
5.843843843843843899e+01,8.877127022203469275e-01
5.864864864864865268e+01,8.877009088058384068e-01
5.885885885885885926e+01,8.876891140370937183e-01
5.906906906906907295e+01,8.876773179600297992e-01
5.927927927927927954e+01,8.876655206190069425e-01
5.948948948948949322e+01,8.876537220568814224e-01
5.969969969969969981e+01,8.876419223150558979e-01
5.990990990990991349e+01,8.876301214335298173e-01
6.012012012012012008e+01,8.876183194509461583e-01
6.033033033033033377e+01,8.876065164046377243e-01
6.054054054054054035e+01,8.875947123306713316e-01
6.075075075075075404e+01,8.875829072638909967e-01
6.096096096096096062e+01,8.875711012379594589e-01
6.117117117117117431e+01,8.875592942853977041e-01
6.138138138138138089e+01,8.875474864376245998e-01
6.159159159159159458e+01,8.875356777249930884e-01
6.180180180180180116e+01,8.875238681768276017e-01
6.201201201201201485e+01,8.875120578214578115e-01
6.222222222222222143e+01,8.875002466862529360e-01
6.243243243243243512e+01,8.874884347976544907e-01
6.264264264264264170e+01,8.874766221812069311e-01
6.285285285285285539e+01,8.874648088615890718e-01
6.306306306306306908e+01,8.874529948626428411e-01
6.327327327327327566e+01,8.874411802074015920e-01
6.348348348348348935e+01,8.874293649181179688e-01
6.369369369369369593e+01,8.874175490162898861e-01
6.390390390390390962e+01,8.874057325226863968e-01
6.411411411411411621e+01,8.873939154573725618e-01
6.432432432432432279e+01,8.873820978397328751e-01
6.453453453453454358e+01,8.873702796884944677e-01
6.474474474474475016e+01,8.873584610217497559e-01
6.495495495495495675e+01,8.873466418569778691e-01
6.516516516516516333e+01,8.873348222110647443e-01
6.537537537537538412e+01,8.873230021003243317e-01
6.558558558558559071e+01,8.873111815405169134e-01
6.579579579579579729e+01,8.872993605468688649e-01
6.600600600600600387e+01,8.872875391340899753e-01
6.621621621621622467e+01,8.872757173163916544e-01
6.642642642642643125e+01,8.872638951075028091e-01
6.663663663663663783e+01,8.872520725206876069e-01
6.684684684684684441e+01,8.872402495687601309e-01
6.705705705705706521e+01,8.872284262640995900e-01
6.726726726726727179e+01,8.872166026186663057e-01
6.747747747747747837e+01,8.872047786440142580e-01
6.768768768768768496e+01,8.871929543513061844e-01
6.789789789789790575e+01,8.871811297513262362e-01
6.810810810810811233e+01,8.871693048544927462e-01
6.831831831831831892e+01,8.871574796708708854e-01
6.852852852852852550e+01,8.871456542101846532e-01
6.873873873873874629e+01,8.871338284818282016e-01
6.894894894894895288e+01,8.871220024948772709e-01
6.915915915915915946e+01,8.871101762580998473e-01
6.936936936936936604e+01,8.870983497799665995e-01
6.957957957957958683e+01,8.870865230686610925e-01
6.978978978978979342e+01,8.870746961320891133e-01
7.000000000000000000e+01,8.870628689778887743e-01
7.021021021021020658e+01,8.870510416134390619e-01
